,osmid,type,object,name,lat,lon,geometry,city,historic,addr:street,addr:housenumber,start_date,opening_hours,phone,contact:website,building:levels,wikipedia,contact:phone,ref:temples.ru,contact:email,website,description,contact:vk,service_times,contact:facebook,contact:instagram,contact:twitter,contact:youtube,email
10,37342804,church,building,Храм Николая Чудотворца,55.862417004012045,37.5905032291244,"POLYGON ((37.5904362 55.8624549, 37.5904347 55.8624382, 37.5903874 55.8624395, 37.5903841 55.8624012, 37.5904313 55.8623999, 37.5904298 55.862383, 37.5905983 55.8623783, 37.5906047 55.8624502, 37.5904362 55.8624549))",Москва,,,,,,,,,,,,,,,,,,,,,
11,37447009,church,building,Церковь Филарета Милостивого,55.754918625181325,37.54005674645868,"POLYGON ((37.5397578 55.7548147, 37.540139 55.7550875, 37.5402333 55.7550895, 37.5403104 55.7550545, 37.540329 55.7550034, 37.5399477 55.7547306, 37.5397578 55.7548147))",Москва,,Шмитовский проезд,29 с10 к1,1885..1889,,,,5,,,6447,,,,,,,,,,
12,37645144,church,building,Храм Девяти Мучеников Кизических,55.754582361619285,37.57979601892163,"POLYGON ((37.5795856 55.7544836, 37.579577 55.754483, 37.5795664 55.7544834, 37.579556 55.7544847, 37.5795463 55.7544871, 37.5795374 55.7544904, 37.5795297 55.7544945, 37.5795233 55.7544993, 37.5795185 55.7545047, 37.5795155 55.7545104, 37.5795142 55.7545163, 37.5795149 55.7545223, 37.5795159 55.7545249, 37.579511 55.7545276, 37.5794893 55.7545272, 37.579474 55.7546846, 37.5798603 55.7546966, 37.5798655 55.7546441, 37.5800938 55.7546512, 37.5800949 55.7546404, 37.5801046 55.7546425, 37.580121 55.7546444, 37.5801378 55.7546446, 37.5801543 55.7546432, 37.5801702 55.7546402, 37.5801849 55.7546357, 37.580198 55.7546298, 37.5802091 55.7546227, 37.5802178 55.7546147, 37.5802239 55.7546059, 37.5802272 55.7545966, 37.5802276 55.7545872, 37.5802251 55.7545779, 37.5802198 55.7545689, 37.5802118 55.7545607, 37.5802013 55.7545533, 37.5801887 55.7545471, 37.5801744 55.7545422, 37.5801588 55.7545387, 37.5801424 55.7545369, 37.5801256 55.7545366, 37.580109 55.754538, 37.5801049 55.7545388, 37.5801058 55.7545291, 37.5798771 55.754522, 37.5798826 55.754466, 37.5795882 55.7544569, 37.5795856 55.7544836))",Москва,,Большой Девятинский переулок,15 с1,,,,http://www.kizik.ru,5,,+7 495 6057661,,,,,,,,,,,
13,37769988,church,building,Храм Симеона Столпника за Яузой,55.747224230786074,37.64994229398656,"POLYGON ((37.6497401 55.7473387, 37.6497452 55.7473536, 37.6502617 55.7472979, 37.6502493 55.7472614, 37.6503124 55.747238, 37.6502823 55.7471479, 37.6502061 55.7471347, 37.6501888 55.7470841, 37.6496724 55.7471399, 37.6496886 55.7471875, 37.6495708 55.7472002, 37.6496223 55.7473514, 37.6497401 55.7473387))",Москва,,Николоямская улица,10-12 с8,,08:45-19:00,,http://simeonstolpnik.moseparh.ru,,ru:Храм Симеона Столпника за Яузой,+7 495 9153700,,9153700@gmail.com,,,,,,,,,
14,40008995,church,building,Храм Живоначальной Троицы в Воронцове,55.667853872352644,37.54062592600993,"POLYGON ((37.5404432 55.6678569, 37.5404603 55.6677698, 37.5406492 55.6677843, 37.5408294 55.6678182, 37.5408037 55.6679101, 37.5407092 55.6679053, 37.5406749 55.667944, 37.540529 55.6679343, 37.5405118 55.6679053, 37.5404432 55.6678569))",Москва,,улица Академика Пилюгина,1,,,,,,ru:Храм Троицы Живоначальной в Воронцове,,,,,,,,,,,,
15,40444289,church,building,Храм Троицы Живоначальной в Серебряниках,55.75010848161821,37.644908494070876,"POLYGON ((37.6446996 55.7499788, 37.6449912 55.750042, 37.6449995 55.7500297, 37.6451612 55.7500647, 37.6452124 55.7501237, 37.6451586 55.7502024, 37.6450429 55.7502294, 37.644884 55.750195, 37.644891 55.7501846, 37.6447063 55.7501446, 37.6446901 55.7501683, 37.6445856 55.7501457, 37.6446996 55.7499788))",Москва,,Серебрянический переулок,1А,,,,,1,ru:Храм Троицы Живоначальной в Серебряниках,,,,,,,,,,,,
16,40583974,church,building,Храм святителя Льва Великого,55.64109170038183,37.500031716639754,"POLYGON ((37.4999224 55.6410942, 37.5000361 55.64103, 37.500141 55.6410892, 37.5000274 55.6411534, 37.4999224 55.6410942))",Москва,,улица Островитянова,8 к1,,,,,1,,,,,,,,,,,,,
17,42092569,church,building,Храм Антония и Феодосия Печерских в Бибиреве,55.89572379580079,37.62402709822203,"POLYGON ((37.6240769 55.8957844, 37.6241339 55.8957661, 37.6241521 55.8957487, 37.6241527 55.8957262, 37.6241153 55.8956978, 37.6240544 55.8956802, 37.6239793 55.8956635, 37.6239337 55.8956692, 37.6239016 55.8957091, 37.623913 55.8957366, 37.6239953 55.895769, 37.6240769 55.8957844))",Москва,,улица Корнейчука,52А/1,,,,,,,,,,http://www.hram-leonovo.ru/hram/pripisnie/antoniy_feodosiy.php,,,,,,,,
18,42503887,church,building,Храм Воскресения Словущего в Барашах,55.75982342929243,37.64922235013777,"POLYGON ((37.6495364 55.759889, 37.6495377 55.7598891, 37.6495563 55.7598842, 37.6495662 55.7598741, 37.6495637 55.7598626, 37.6495618 55.7598615, 37.6496057 55.7598167, 37.649462 55.7597721, 37.649421 55.7598139, 37.648955 55.7596691, 37.6489283 55.7596963, 37.648904 55.7596888, 37.6488649 55.7597286, 37.64883 55.7597642, 37.6488543 55.7597717, 37.6488375 55.7597888, 37.6489523 55.7598245, 37.6489406 55.7598364, 37.6489897 55.7598516, 37.6490014 55.7598397, 37.6494328 55.7599738, 37.649453 55.7599759, 37.6494716 55.759971, 37.6494815 55.7599609, 37.649479 55.7599495, 37.6494873 55.7599499, 37.6495171 55.7599433, 37.649539 55.7599301, 37.6495485 55.7599129, 37.6495437 55.759895, 37.6495364 55.759889))",Москва,,улица Покровка,26/1 с1,,,,http://voskresbarashi.ru/,6,ru:Храм Воскресения Словущего в Барашах,,,,,,,,,,,,
19,42964242,church,building,Часовня иконы Божией Матери «Утоли моя печали» в Северном Медведкове,55.8873704,37.66047255,"POLYGON ((37.6603893 55.8874053, 37.6603846 55.8873393, 37.6605558 55.8873355, 37.6605605 55.8874015, 37.6603893 55.8874053))",Москва,,Широкая улица,14,,,,,,,,,,,,,,,,,,
20,43129967,church,building,Храм-часовня Иконы Божией Матери «Живоносный Источник»,55.89849480341727,37.60693164478286,"POLYGON ((37.6070699 55.8984681, 37.6070053 55.8984714, 37.6069964 55.8984151, 37.6069452 55.8983887, 37.6068971 55.8984181, 37.6069063 55.8984757, 37.6067704 55.8984825, 37.6067766 55.8985213, 37.6067823 55.8985575, 37.6070817 55.8985427, 37.6070699 55.8984681))",Москва,,улица Лескова,11Б,,,+7 985 7252220,,1,,,,,http://hram-zhi.narod.ru/,"по кадастровым документам земля принадлежит: Православный приход храма Положения Ризы Пресвятой Богородицы во Влахерне, в Леонове г.Москвы Московской Епархии РПЦ",,,,,,,
21,43321786,church,building,Храм Сергия Радонежского,55.74676085567669,37.66821727157963,"POLYGON ((37.668587 55.746869, 37.6685917 55.7468355, 37.6686242 55.7468305, 37.6686534 55.7468171, 37.6686788 55.746797, 37.6686837 55.7467562, 37.668668 55.746741, 37.6686415 55.746727, 37.6686084 55.7467187, 37.6686136 55.7466686, 37.6682233 55.7466555, 37.6681734 55.7466276, 37.6681321 55.7466184, 37.6680101 55.7466155, 37.6679565 55.7466267, 37.6679225 55.7466469, 37.6679053 55.746686, 37.6677293 55.746678, 37.6677147 55.7467802, 37.6678863 55.746788, 37.6678857 55.7468217, 37.6679026 55.7468445, 37.6679358 55.7468635, 37.6679642 55.7468719, 37.6681321 55.7468794, 37.6681683 55.7468705, 37.6682003 55.7468557, 37.668305 55.7468604, 37.6682978 55.7469108, 37.6684813 55.7469191, 37.6684875 55.7468757, 37.6685167 55.746877, 37.6685183 55.7468659, 37.668587 55.746869))",Москва,,Николоямская улица,59,,,,,,ru:Храм Сергия Радонежского в Рогожской слободе,,,,http://sergeyrad.ru/,,,,,,,,
22,44296038,church,building,Храм Святителя Тихона и Святого Андрея Первозванного,55.68366938326348,37.763539953953504,"POLYGON ((37.7633405 55.6836375, 37.7635323 55.6836357, 37.7635312 55.6835982, 37.763638 55.6835972, 37.7636394 55.6836436, 37.7637239 55.6836428, 37.7637253 55.6836874, 37.763646 55.6836881, 37.7636477 55.6837407, 37.7635343 55.6837418, 37.7635331 55.6837009, 37.7633426 55.6837028, 37.7633405 55.6836375))",Москва,,Ставропольская улица,25 к2,,,,,,,,,,,,,,,,,,
23,44448153,church,building,Храм Рождества Христова,55.80085740699456,37.76969118637278,"POLYGON ((37.7694212 55.800902, 37.7694244 55.8009524, 37.7699464 55.800942, 37.7699416 55.8008664, 37.7699878 55.8008655, 37.7699848 55.8008186, 37.7699375 55.8008195, 37.7699335 55.8007566, 37.769495 55.8007654, 37.7694982 55.8008232, 37.7693905 55.8008254, 37.7693958 55.8009025, 37.7694212 55.800902))",Москва,,Измайловский проезд,28,,,,,1,ru:Храм Рождества Христова в Измайлове,,,,,,,,,,,,
24,44778340,church,building,Храм Всех Святых,55.78433293508579,37.6678154102501,"POLYGON ((37.667539 55.7843018, 37.6676439 55.7843511, 37.6676319 55.7843604, 37.6678699 55.7844758, 37.667902 55.7844756, 37.6679268 55.7844703, 37.6679466 55.7844539, 37.6680065 55.7844537, 37.6680286 55.7844469, 37.6680425 55.7844354, 37.6680477 55.7844052, 37.668039 55.784397, 37.6680714 55.784387, 37.6680827 55.7843751, 37.6680828 55.7843649, 37.6680724 55.7843507, 37.6680502 55.784333, 37.6676873 55.7841677, 37.6676513 55.7841905, 37.6676669 55.7841988, 37.6675558 55.7842745, 37.6675677 55.784281, 37.667539 55.7843018))",Москва,,2-й Красносельский переулок,7 с8,,,+7 499 2641170,,7,,,,,,,,,,,,,
25,45252218,church,building,Храм Рождества Пресвятой Богородицы в Капотне,55.63923750247369,37.79189322218662,"POLYGON ((37.7916715 55.6392867, 37.7917067 55.6391539, 37.7921149 55.6391883, 37.7920798 55.6393211, 37.7916715 55.6392867))",Москва,,,,,,,,,ru:Храм Рождества Пресвятой Богородицы в Капотне,,,,,,,,,,,,
26,45463107,church,building,Церковь Святителя Николая в Хамовниках,55.73206337910211,37.59151502238953,"POLYGON ((37.591201 55.7319647, 37.5912615 55.7319994, 37.5912109 55.7320274, 37.5915586 55.7322267, 37.591602 55.7322028, 37.5916596 55.7322358, 37.5918123 55.7321514, 37.591751 55.7321162, 37.5917796 55.7320925, 37.5917742 55.7320669, 37.5914893 55.7318952, 37.5913774 55.7319572, 37.5912975 55.7319114, 37.591201 55.7319647))",Москва,,улица Льва Толстого,2,,,,http://nikola-khamovniki.ru/,,ru:Храм Николая Чудотворца в Хамовниках,+7 499 2467208,,info@nikola-khamovniki.ru,,,https://vk.com/club19982954,,,,,,
27,45830622,church,building,Церковь Христиан Адвентистов Седьмого Дня,55.815617874702646,37.831485244147196,"POLYGON ((37.8315887 55.8157704, 37.8313752 55.815769, 37.8313818 55.8154653, 37.8315953 55.8154668, 37.8315887 55.8157704))",Москва,,Красноярская улица,3 с1,,,,,2,,,,,,,,,,,,,
28,45832126,church,building,Храм Воскресения Христова,55.77962420124229,37.71890904601698,"POLYGON ((37.7186112 55.7795452, 37.7186323 55.7796057, 37.7185756 55.7796126, 37.7186138 55.7797122, 37.7186671 55.7797058, 37.7186872 55.7797636, 37.71924 55.7796936, 37.7192337 55.7796808, 37.7192256 55.7796593, 37.7191932 55.7796393, 37.7192252 55.7796129, 37.7192242 55.7795908, 37.719209 55.7795731, 37.7191622 55.7795597, 37.7191837 55.7795315, 37.7191665 55.7795009, 37.7191306 55.7794889, 37.7186112 55.7795452))",Москва,,Измайловское шоссе,2,,,,,,,,,,,,,,,,,,
29,46414216,church,building,Синагога при Московском еврейском общинном центре,55.79046961434376,37.60854923979864,"POLYGON ((37.6084125 55.7905204, 37.6086921 55.7905282, 37.6086999 55.7904392, 37.6086083 55.7904367, 37.6086108 55.7904093, 37.6084228 55.790404, 37.6084125 55.7905204))",Москва,,улица Образцова,19 к2,,,,,2,,,,,,,,,,,,,
30,46414267,church,building,Храм Сошествия Святого Духа на Апостолов,55.79134858235411,37.618478689715275,"POLYGON ((37.6181532 55.7914544, 37.6181462 55.7912445, 37.6186873 55.7912433, 37.6186892 55.7912697, 37.618763 55.7912737, 37.6188473 55.7912895, 37.6188544 55.7913251, 37.6188561 55.7913814, 37.6188298 55.791411, 37.6187771 55.7914248, 37.6186945 55.7914258, 37.6186927 55.7914525, 37.6181532 55.7914544))",Москва,,улица Советской Армии,12 с1,,,,,3,ru:Храм Сошествия Святого Духа на Лазаревском кладбище,,,,,,,,,,,,
31,46737463,church,building,Церковь Тихвинской Божией Матери,55.788093260214744,37.5997070606369,"POLYGON ((37.5993304 55.7882851, 37.599389 55.7881521, 37.5995244 55.788171, 37.5995598 55.7880908, 37.5994499 55.7880755, 37.5994902 55.787984, 37.5996382 55.7880047, 37.5996885 55.7878907, 37.6000218 55.7879371, 37.5998823 55.7882536, 37.5995283 55.7882042, 37.5994832 55.7883064, 37.5993304 55.7882851))",Москва,,Тихвинская улица,13,,,,,1,,,,,,,,,,,,,
32,46739103,church,building,Храм Покрова Пресвятой Богородицы в Бутырской тюрьме,55.78451490369586,37.59395265827724,"POLYGON ((37.5936809 55.7845614, 37.5938833 55.7843509, 37.594233 55.7844607, 37.5940342 55.7846673, 37.593965 55.7846458, 37.5939424 55.784639, 37.5939215 55.7846607, 37.5939007 55.7846544, 37.5938366 55.7846348, 37.5937611 55.7846117, 37.5937803 55.7845918, 37.5936809 55.7845614))",Москва,,Новослободская улица,45 с2,,,,,3,,,,,http://pokrovbutyrka.moseparh.ru,,,,,,,,
33,46840084,church,building,Храм Иконы Божьей Матери Отрада и Утешение,55.780508956733804,37.546807148976036,"POLYGON ((37.5465516 55.7805725, 37.5467957 55.7804169, 37.546862 55.7803789, 37.5469415 55.7803627, 37.5469944 55.7803828, 37.5470129 55.7804054, 37.5470071 55.7804255, 37.5469887 55.7804359, 37.5470036 55.7804475, 37.5470221 55.7804553, 37.5470221 55.7804682, 37.5469747 55.7805057, 37.5467305 55.7806613, 37.5465516 55.7805725))",Москва,,улица Поликарпова,16,,,,,1,,,,,,,,,,,,,
34,46934105,church,building,Храм Вознесения Господня за Серпуховскими воротами,55.72645717607685,37.62386630817471,"POLYGON ((37.6233272 55.7263069, 37.6235011 55.7263404, 37.6234911 55.7263568, 37.6236338 55.7263843, 37.6236499 55.7263578, 37.6237307 55.7263734, 37.6237603 55.7263248, 37.6243069 55.7264301, 37.6241861 55.7266289, 37.623644 55.7265244, 37.6236638 55.7264918, 37.6235809 55.7264758, 37.6236032 55.7264391, 37.6234576 55.7264111, 37.6234482 55.7264266, 37.6232748 55.7263932, 37.6233272 55.7263069))",Москва,,Большая Серпуховская улица,24/21А с1,,,,,,,,,,http://www.voznesenie.ru/,,,,,,,,
35,47270912,church,building,Храм Святителя Николая Мирликийского,55.75870217101598,37.566423115109146,"POLYGON ((37.5660409 55.7586574, 37.5659882 55.7587014, 37.5660198 55.7587539, 37.5659881 55.7587601, 37.5660172 55.7588071, 37.5660489 55.7588008, 37.5660815 55.7588545, 37.566171 55.7588713, 37.5665736 55.7587936, 37.5665836 55.7588103, 37.5667913 55.7587723, 37.5668121 55.7587665, 37.5668297 55.7587565, 37.5668401 55.7587437, 37.5668423 55.7587297, 37.5668359 55.7587161, 37.5668216 55.7587045, 37.5668013 55.7586964, 37.5667772 55.7586926, 37.5667628 55.7586931, 37.5667602 55.758689, 37.5667846 55.7586813, 37.5668037 55.7586697, 37.5668153 55.7586553, 37.5668184 55.7586396, 37.5668126 55.7586242, 37.5667986 55.7586105, 37.5667777 55.7586, 37.566752 55.7585937, 37.566722 55.7585923, 37.5667088 55.7585932, 37.5667063 55.7585889, 37.5667239 55.7585789, 37.5667344 55.7585661, 37.5667365 55.7585521, 37.5667301 55.7585385, 37.5667159 55.7585269, 37.5666955 55.7585188, 37.5666714 55.758515, 37.5666482 55.7585158, 37.5664309 55.7585585, 37.5664436 55.7585797, 37.5660409 55.7586574))",Москва,,Нововаганьковский переулок,9,,,+7 499 2550554,,6,,,,,http://hramtrigory.ru/,,,,,,,,
36,47294387,church,building,Церковь преподобного Симеона Столпника,55.753361107100545,37.597103679604636,"POLYGON ((37.5968559 55.7533495, 37.5968952 55.7533926, 37.5968502 55.7534104, 37.5968928 55.7534508, 37.5969379 55.7534317, 37.5970003 55.7534854, 37.5973158 55.7533808, 37.5972916 55.7533499, 37.5973624 55.7533224, 37.5973597 55.7532927, 37.5973155 55.7532589, 37.5972758 55.7532496, 37.5971523 55.7532904, 37.5971206 55.7532747, 37.5970844 55.7532711, 37.5968559 55.7533495))",Москва,,Поварская улица,5 с1,,,,,2,,,,,,,,,,,,,
37,47703742,church,building,Храм Троицы Живоначальной в Листах,55.77173314361646,37.63186800204823,"POLYGON ((37.6316712 55.7716954, 37.6316714 55.7716154, 37.6319118 55.7716156, 37.6319116 55.7716708, 37.6321297 55.7716711, 37.6321292 55.7718035, 37.6318799 55.7718032, 37.6318798 55.7718519, 37.6316707 55.7718516, 37.6316709 55.7717746, 37.6316712 55.7716954))",Москва,,улица Сретенка,27 с3,,,,,2,,,,,,,,,,,,,
38,47924379,church,building,Церковь Зачатия Анны,55.739608157699514,37.60075091338611,"POLYGON ((37.6006214 55.7394516, 37.6009229 55.7394626, 37.6009099 55.7395771, 37.6007958 55.739573, 37.6007925 55.7396008, 37.6009044 55.7396048, 37.6008863 55.7397639, 37.6005871 55.739753, 37.6006214 55.7394516))",Москва,,2-й Зачатьевский переулок,2 с5,,,,,2,,,,,,,,,,,,,
39,47978077,church,building,Церковь Сошествия Святого Духа,55.73968942762565,37.59916138117003,"POLYGON ((37.5989978 55.739582, 37.5989654 55.7397626, 37.5991057 55.7397706, 37.5991023 55.7397894, 37.5992022 55.7397951, 37.5992119 55.7397407, 37.5993625 55.7397492, 37.5993846 55.7396263, 37.5991534 55.7396132, 37.5991437 55.7396675, 37.5990949 55.7396647, 37.5991086 55.7395883, 37.5989978 55.739582))",Москва,,2-й Зачатьевский переулок,2 с13,,,,,2,,,,,,,,,,,,,
40,48038238,church,building,Церковь иконы Божией Матери Умягчение злых сердец при Центре социальной адаптации Люблино,55.66182815,37.72333275,"POLYGON ((37.7235882 55.6620356, 37.7237413 55.6619316, 37.7230773 55.6616207, 37.7229242 55.6617247, 37.7235882 55.6620356))",Москва,,Иловайская улица,22,,,,,,,,,,,,,,,,,,
41,48125186,church,building,Храм Всех Святых во Всехсвятском,55.803885616255236,37.514004294406654,"POLYGON ((37.5137132 55.8039481, 37.5137653 55.8038755, 37.5136482 55.8038515, 37.5137181 55.8037561, 37.5138247 55.8037782, 37.5138594 55.8037298, 37.514153 55.8037935, 37.5141202 55.8038413, 37.5143381 55.8038895, 37.514387 55.8039297, 37.5143816 55.8039716, 37.5143198 55.8040058, 37.5142436 55.8040127, 37.5141738 55.8040002, 37.5140295 55.8039718, 37.5140022 55.8040096, 37.5137132 55.8039481))",Москва,,Ленинградский проспект,73А,,,,,,,,,,,,,Mo-Su 09:00-18:00,,,,,
42,48255322,church,building,Храм Архангела Михаила в Тропарево,55.65583026613519,37.47923691674786,"POLYGON ((37.4789785 55.6558385, 37.4791123 55.6559582, 37.4794953 55.6558221, 37.4793615 55.6557023, 37.4789785 55.6558385))",Москва,,проспект Вернадского,90,,,,,5,,,,,,,,,,,,,
