,osmid,type,object,name,lat,lon,geometry,city,addr:street,addr:housenumber,start_date,opening_hours,phone,contact:website,building:levels,wikipedia,contact:phone,contact:email,website,description,contact:vk,contact:facebook,contact:instagram,contact:twitter,contact:youtube,email
10,463257309,cafe,amenity,Грабли,55.7413227,37.6287265,POINT (37.6287265 55.7413227),Москва,,,,Mo-Th 09:00-22:00; Fr-Su 09:00-23:00,,http://grabli.ru/,,,+7 495 5450830,,,,,,,,,
11,469372549,cafe,amenity,True Burgers,55.7464981,37.5609638,POINT (37.5609638 55.7464981),Москва,,,,Mo-Su 11:00-23:00,,,,,+7 965 1054499,,,,,https://www.facebook.com/TrueBurgers,,,,
12,474351156,cafe,amenity,BP-Connect,55.7413059,37.4286725,POINT (37.4286725 55.7413059),Москва,,,,,,,,,,,,,,,,,,
13,480803601,cafe,amenity,Шоколадница,55.6715942,37.5534398,POINT (37.5534398 55.6715942),Москва,,,,Mo-Fr 09:00-22:00; Sa-Su 10:00-22:00,+7 495 7794622,http://shoko.ru,,,,,,,,https://www.facebook.com/shoko.ru,,,,
14,510113927,cafe,amenity,Шоколадница,55.757364,37.6316441,POINT (37.6316441 55.757364),Москва,,,,24/7,+7 985 3104632,http://shoko.ru,,,,,,,https://vk.com/shokoru,https://www.facebook.com/shoko.ru,https://www.instagram.com/shoko.ru,https://twitter.com/wwwShokoRu,,
15,510777222,cafe,amenity,Му-Му,55.64074,37.6036692,POINT (37.6036692 55.64074),Москва,,,,Mo-Su 10:00-23:00,,,,,,,https://www.cafemumu.ru/,,,,,,,
16,520358965,cafe,amenity,На изумрудной,55.871815,37.6839384,POINT (37.6839384 55.871815),Москва,,,,12:00-24:00,,,,,,,,,,,,,,
17,523329028,cafe,amenity,Кофе Хауз,55.8653693,37.7040352,POINT (37.7040352 55.8653693),Москва,,,,,,https://coffeehouse.ru,,,,info@coffeehouse.ru,,,https://vk.com/ru_coffeehouse,https://www.facebook.com/coffeehouse.ru,https://www.instagram.com/coffeehouse,https://twitter.com/ru_coffeehouse,https://www.youtube.com/user/CoffeeHouseMan,
18,524512031,cafe,amenity,Кофе Хауз,55.7576428,37.6586654,POINT (37.6586654 55.7576428),Москва,,,,,,https://coffeehouse.ru,,,,info@coffeehouse.ru,,,https://vk.com/ru_coffeehouse,https://www.facebook.com/coffeehouse.ru,https://www.instagram.com/coffeehouse,https://twitter.com/ru_coffeehouse,https://www.youtube.com/user/CoffeeHouseMan,
19,533896801,cafe,amenity,Москвич,55.7048721,37.7360995,POINT (37.7360995 55.7048721),Москва,,,,,+7 499 1798914,,,,,,,,,,,,,
20,546665319,cafe,amenity,Сбарро,55.6227585,37.6055185,POINT (37.6055185 55.6227585),Москва,,,,,,,,,,,http://www.sbarro.ru/,,,,,,,
21,552207378,cafe,amenity,Кальян,55.8959871,37.6195797,POINT (37.6195797 55.8959871),Москва,,,,,,,,,,,,,,,,,,
22,560539617,cafe,amenity,Шоколадница,55.7305169,37.6352842,POINT (37.6352842 55.7305169),Москва,,,,24/7,,https://coffeehouse.ru,,,,info@coffeehouse.ru,,,https://vk.com/ru_coffeehouse,https://www.facebook.com/coffeehouse.ru,https://www.instagram.com/coffeehouse,https://twitter.com/ru_coffeehouse,https://www.youtube.com/user/CoffeeHouseMan,
23,560539618,cafe,amenity,Шоколадница,55.7310081,37.6336134,POINT (37.6336134 55.7310081),Москва,,,,24/7,,http://shoko.ru,,,+7 495 9533063,,,,https://vk.com/shokoru,https://www.facebook.com/shoko.ru,https://instagram.com/shoko.ru,https://twitter.com/wwwShokoRu,,
24,564862319,cafe,amenity,Эссе,55.7990447,37.7747373,POINT (37.7747373 55.7990447),Москва,Никитинская улица,13,,Mo-Su 09:00-24:00,+7 499 9400564,,,,,,http://cafeesse.com,,,,,,,
25,572196515,cafe,amenity,Му-Му,55.7897921,37.6809206,POINT (37.6809206 55.7897921),Москва,,,,Mo-Fr 08:00-23:00; Sa-Su 09:00-23:00,+7 499 2696387,,,,,,https://www.cafemumu.ru/,,,,,,,
26,585053792,cafe,amenity,ЗаРайский Дворик,55.7297961,37.7707677,POINT (37.7707677 55.7297961),Москва,,,,,,,,,,,,,,,,,,
27,595351419,cafe,amenity,Легенда,55.8603061,37.4483248,POINT (37.4483248 55.8603061),Москва,улица Свободы,71 к3,,Mo-Su 12:00-00:00,+7 495 4967505,,,,,,,,,,,,,
28,595516297,cafe,amenity,Якорь,55.894718,37.6130189,POINT (37.6130189 55.894718),Москва,,,,,,,,,,,,,,,,,,
29,597262639,cafe,amenity,Келлер,55.886287,37.6116799,POINT (37.6116799 55.886287),Москва,,,,,,,,,,,,,,,,,,
30,618011036,cafe,amenity,Финист,55.7964009,37.5835847,POINT (37.5835847 55.7964009),Москва,,,,,,,,,,,,,,,,,,
31,618641287,cafe,amenity,Крепери де Пари,55.7878527,37.6773384,POINT (37.6773384 55.7878527),Москва,,,,"Mo-Fr 09:00-23:00; Sa,Su 10:00-23:00",,https://www.creperie.ru/,,,+7 499 2641104;+7 926 7797923,sokol@creperie.ru,,,https://vk.com/creperie,https://www.facebook.com/CreperieDeParis,https://www.instagram.com/creperie_de_paris/,https://twitter.com/cafe_french,,
32,622510541,cafe,amenity,Очаг,55.7213512,37.7337973,POINT (37.7337973 55.7213512),Москва,,,,,,,,,,,,,,,,,,
33,623350694,cafe,amenity,Пушкинъ,55.7634115,37.6046705,POINT (37.6046705 55.7634115),Москва,Тверской бульвар,26/5,,,,http://www.cafe-pushkin.ru,,,+7 495 6044280,,http://www.cafe-pushkin.ru,Кондитерская,,,,,,
34,626862155,cafe,amenity,Папа Джонс,55.7212034,37.6235815,POINT (37.6235815 55.7212034),Москва,Люсиновская улица,41,,Mo-Su 11:00-23:00,+7 495 2874362,https://www.papajohns.ru,,,,,,,https://vk.com/papajohnsru,https://www.facebook.com/papajohnsru,https://www.instagram.com/papajohnsru,,,
35,639170688,cafe,amenity,Шоколадница,55.7428169,37.4285202,POINT (37.4285202 55.7428169),Москва,,,,Mo-Fr 08:00-23:00; Sa-Su 09:00-23:00,+7 495 4152533,,,,,,https://shoko.ru/,,,,,,,
36,641871997,cafe,amenity,ЛаBeerРинт,55.6582049,37.5682109,POINT (37.5682109 55.6582049),Москва,,,,,,,,,,,,,,,,,,
37,652758503,cafe,amenity,Форсаж,55.8015302,37.7266258,POINT (37.7266258 55.8015302),Москва,,,,,,,,,,,,,,,,,,
38,663698227,cafe,amenity,Старый Дворик,55.8175466,37.8088016,POINT (37.8088016 55.8175466),Москва,,,,,,,,,,,,,,,,,,
39,665546035,cafe,amenity,Шоколадница,55.7351492,37.5178934,POINT (37.5178934 55.7351492),Москва,,,,24/7,+7 499 1486305,,,,,,https://shoko.ru/,,,,,,,
40,665977386,cafe,amenity,Дворик,55.6476531,37.392901,POINT (37.392901 55.6476531),Москва,,,,,,,,,,,,,,,,,,
41,667234774,cafe,amenity,Urban,55.8044145,37.7814848,POINT (37.7814848 55.8044145),Москва,,,,,,,,,,,,,,,,,,
42,668734086,cafe,amenity,Поль Бейкери,55.8233681,37.4969072,POINT (37.4969072 55.8233681),Москва,,,,,,,,,,,http://www.paulbakery.ru/,,,,,,,
43,675633542,cafe,amenity,СССР,55.8086798,37.4941534,POINT (37.4941534 55.8086798),Москва,,,,,,,,,,,,,,,,,,
44,677616611,cafe,amenity,Репин,55.8821403,37.4865478,POINT (37.4865478 55.8821403),Москва,,,,,,,,,,,,,,,,,,
45,677616623,cafe,amenity,Вусал,55.8803566,37.4900129,POINT (37.4900129 55.8803566),Москва,улица Маршала Федоренко,7,,Mo-Su 11:00-24:00,+7 926 7036463,,,,,,,"Цена бани/сауны: от 700 руб/час. Бизнес-ланч, летняя веранда, кофе с собой. Спортивные трансляции",,,,,,
46,690199978,cafe,amenity,Очаг Гурманов,55.6404496,37.6908193,POINT (37.6908193 55.6404496),Москва,,,,,,,,,,,,,,,,,,
47,705409493,cafe,amenity,Му-Му,55.783007,37.720243,POINT (37.720243 55.783007),Москва,,,,Mo-Su 09:00-23:00,,https://www.cafemumu.ru,,,,fastland@cafemumu.ru,,,https://vk.com/cafemumu,https://www.facebook.com/cafemumu,https://www.instagram.com/cafemumu,https://twitter.com/cafemumu,,
48,708334383,cafe,amenity,Пекарня Маман,55.783492,37.7210495,POINT (37.7210495 55.783492),Москва,,,,,,,,,,,,,,,,,,
49,708685616,cafe,amenity,Шоколадница,55.7612185,37.5793193,POINT (37.5793193 55.7612185),Москва,,,,24/7,+7 915 4926297,http://shoko.ru,,,,,,,,https://www.facebook.com/shoko.ru,,,,
50,720815620,cafe,amenity,Виктория,55.8599177,37.4484805,POINT (37.4484805 55.8599177),Москва,улица Свободы,71 к3,,"PH,Mo-Su 13:00-23:00",,,,,,,,,,,,,,
51,729316619,cafe,amenity,Ласточка,55.8740187,37.6366282,POINT (37.6366282 55.8740187),Москва,,,,,,,,,,,,,,,,,,
52,729721554,cafe,amenity,Мечта,55.8719437,37.6719163,POINT (37.6719163 55.8719437),Москва,,,,,,,,,,,,,,,,,,
53,748949758,cafe,amenity,Шоколадница,55.8033246,37.7574362,POINT (37.7574362 55.8033246),Москва,,,,Mo-Fr 09:00-22:00; Sa-Su 10:00-22:00,+7 915 4502688,,,,,,https://shoko.ru/,,,,,,,
54,772798082,cafe,amenity,Твое кафе,55.7590525,37.7084841,POINT (37.7084841 55.7590525),Москва,,,,Mo-Su 11:00-23:00,,,,,,,,,,,,,,
55,813653387,cafe,amenity,Штолле,55.767666,37.5926032,POINT (37.5926032 55.767666),Москва,Большая Садовая улица,3 с1,,Mo-Su 08:00-22:00,,http://www.stolle.ru,,,+7 495 6444045-14,,https://www.stolle.ru/,,,,,,,
56,813653471,cafe,amenity,Шоколадница,55.7673084,37.5933715,POINT (37.5933715 55.7673084),Москва,,,,24/7,,http://shoko.ru,,,+7 903 7278227,,,,https://vk.com/shokoru,https://www.facebook.com/shoko.ru,https://www.instagram.com/shoko.ru,https://twitter.com/wwwShokoRu,,
57,813653880,cafe,amenity,Айва,55.7629854,37.5880591,POINT (37.5880591 55.7629854),Москва,,,,,,,,,,,,,,,,,,
58,813972077,cafe,amenity,Даблби,55.7667104,37.6107617,POINT (37.6107617 55.7667104),Москва,,,,Mo-Su 11:00-22:00,,https://www.double-b.ru,,,,info@double-b.ru,,,,https://www.facebook.com/DoubleBCoffeeTea,https://www.instagram.com/doublebcoffeetea,,,
59,814619201,cafe,amenity,Палео,55.6786533,37.6508627,POINT (37.6508627 55.6786533),Москва,,,,Mo-Su 12:00-22:00,,,,,,,,,,,,,,
60,815105230,cafe,amenity,Мацони,55.7716905,37.6379399,POINT (37.6379399 55.7716905),Москва,,,,Mo-Su 11:00-23:00,,https://kafematsoni.ru/,,,+7 966 3849223,,,,,,,,,
61,820839905,cafe,amenity,Алтаргана,55.7673462,37.6522939,POINT (37.6522939 55.7673462),Москва,,,,Mo-Su 12:00-24:00,,https://altargana-moscow.ru/,,,+7 499 9755639;+7 915 4924830,,,,http://vk.com/public57366872,,,,,
62,825997423,cafe,amenity,Взлет,55.810912,37.4990295,POINT (37.4990295 55.810912),Москва,,,,Mo-Fr 10:00-18:00,,,,,,,,,,,,,,
63,826366260,cafe,amenity,Общежитие МАИ,55.8128478,37.494602,POINT (37.494602 55.8128478),Москва,,,,,,,,,,,,,,,,,,
64,837957517,cafe,amenity,Хинкальная,55.6777353,37.6588261,POINT (37.6588261 55.6777353),Москва,,,,,,,,,,,,,,,,,,
65,837957518,cafe,amenity,Чебуречная № 1,55.6775693,37.66028,POINT (37.66028 55.6775693),Москва,,,,,,,,,,,,,,,,,,
66,884420439,cafe,amenity,Факультет,55.703591,37.529905,POINT (37.529905 55.703591),Москва,,,,24/7,,,,,,,,,,,,,,
67,890694168,cafe,amenity,Шоколадница,55.6932599,37.5336446,POINT (37.5336446 55.6932599),Москва,,,,Mo-Su 10:00-22:00,+7 915 4739206,,,,,,https://shoko.ru/,,,,,,,
68,893110503,cafe,amenity,Шоколадница,55.7409522,37.6276453,POINT (37.6276453 55.7409522),Москва,,,,24/7,,,,,,,https://shoko.ru/,,,,,,,
69,899308235,cafe,amenity,Литл Бро,55.7989895,37.7876204,POINT (37.7876204 55.7989895),Москва,,,,,,,,,,,,,,,,,,
70,899760417,cafe,amenity,Шоколадница,55.8461593,37.4385743,POINT (37.4385743 55.8461593),Москва,Сходненская улица,25,,Mo-Fr 07:30-23:00; Sa-Su 09:00-23:00,+7 495 7396774,http://shoko.ru,,,,,,,https://vk.com/shokoru,https://www.facebook.com/shoko.ru,https://instagram.com/shoko.ru,https://twitter.com/wwwShokoRu,,
71,902642689,cafe,amenity,Шашлык-башлык,55.8063108,37.5613629,POINT (37.5613629 55.8063108),Москва,,,,24/7,,,,,,,,,,,,,,
72,906766012,cafe,amenity,Флешбэк,55.6546808,37.58358,POINT (37.58358 55.6546808),Москва,,,,24/7,,,,,,,,,,,,,,
73,906872238,cafe,amenity,Надин,55.7589836,37.6173425,POINT (37.6173425 55.7589836),Москва,,,,"Mo-Fr 09:00-21:00; Sa,Su 10:00-21:00",,,,,,,,,,,,,,
74,917446126,cafe,amenity,Чебуречная СССР,55.8051354,37.5107086,POINT (37.5107086 55.8051354),Москва,Ленинградский проспект,75,,Mo-Su 11:00-23:00,,http://chebureky.ru/,,,+7 499 1587987,,,,,,,,,
75,920595126,cafe,amenity,Гаврош,55.7345371,37.4884003,POINT (37.4884003 55.7345371),Москва,,,,,+7 499 1440024,,,,,,https://gavroche-cafe.ru/,,,,,,,
76,923226213,cafe,amenity,Шоколадница,55.7390749,37.4846421,POINT (37.4846421 55.7390749),Москва,,,,Mo-Sa 09:00-22:00; Su 10:00-22:00,,http://shoko.ru,,,+7 915 4922148,,,,https://vk.com/shokoru,https://www.facebook.com/shoko.ru,https://www.instagram.com/shoko.ru,https://twitter.com/wwwShokoRu,,
77,926534267,cafe,amenity,Кофе Хауз,55.6182552,37.5070676,POINT (37.5070676 55.6182552),Москва,,,,,,http://www.coffeehouse.ru,,,,,,,,,,,,
78,927221924,cafe,amenity,Палехский дворик,55.8767037,37.7120284,POINT (37.7120284 55.8767037),Москва,,,,,,,,,,,,,,,,,,
79,932154909,cafe,amenity,Аквариум,55.8891575,37.594626,POINT (37.594626 55.8891575),Москва,,,,,,,,,,,,,,,,,,
80,934548770,cafe,amenity,Кофе Хауз,55.7409458,37.5360521,POINT (37.5360521 55.7409458),Москва,,,,,,http://www.coffeehouse.ru,,,,,,,,,,,,
81,939080251,cafe,amenity,El Caracol,55.7852,37.709086,POINT (37.709086 55.7852),Москва,,,,Mo-Fr 09:30-18:00,,,,,,,,"Кафе, столовая",,,,,,
82,939090119,cafe,amenity,Гурман,55.7420779,37.5588186,POINT (37.5588186 55.7420779),Москва,,,,,,,,,,,,,,,,,,
83,941304673,cafe,amenity,Кулинарная лавка братьев Караваевых,55.7658952,37.6322394,POINT (37.6322394 55.7658952),Москва,Милютинский переулок,19/4 с2,,Mo-Su 08:00-23:00,,https://www.karavaevi.ru/,,,+7 495 628-35-38,,,,,,,,,
84,941311738,cafe,amenity,Кулинарная лавка братьев Караваевых,55.7591689,37.6452839,POINT (37.6452839 55.7591689),Москва,улица Покровка,14/2 с1,,Mo-Su 08:00-23:00,,https://www.karavaevi.ru/,,,+7 495 623-71-85,,,,,,,,,
85,941316003,cafe,amenity,Кулинарная лавка братьев Караваевых,55.7626987,37.5892139,POINT (37.5892139 55.7626987),Москва,,,,Mo-Su 08:00-23:00,,https://www.karavaevi.ru/,,,+7 495 690-13-41,,,,,,,,,
86,941766623,cafe,amenity,Му-Му,55.8081589,37.6384319,POINT (37.6384319 55.8081589),Москва,,,,Mo-Su 08:00-23:00,,,,,,,https://www.cafemumu.ru/,,,,,,,
87,941766766,cafe,amenity,Шоколадница,55.8085513,37.6363308,POINT (37.6363308 55.8085513),Москва,,,,24/7,+7 985 3104814,http://shoko.ru,,,,,,,,https://www.facebook.com/shoko.ru,,,,
88,942430587,cafe,amenity,DeliMarche,55.7687885,37.5893563,POINT (37.5893563 55.7687885),Москва,улица Гашека,7 с1,,"Mo-Fr 08:00-23:00; Sa,Su 09:00-23:00",,,,,,,,,,https://www.facebook.com/DeliMarcheMoscow,,,,
89,942540683,cafe,amenity,Шантимель,55.8266654,37.4467718,POINT (37.4467718 55.8266654),Москва,,,,,,,,,,,,,,,,,,
90,954912246,cafe,amenity,Андиамо,55.6869871,37.5355596,POINT (37.5355596 55.6869871),Москва,,,,,,,,,,,,,,,,,,
91,958537202,cafe,amenity,Kitchen,55.7582211,37.4191351,POINT (37.4191351 55.7582211),Москва,,,,,,http://cafe-kitchen.ru/,,,,,,,,,,,,
92,968170591,cafe,amenity,Архитектор,55.7699843,37.5937454,POINT (37.5937454 55.7699843),Москва,,,,,,,,,,,,,,,,,,
93,971104714,cafe,amenity,Папа Джонс,55.7432939,37.50604,POINT (37.50604 55.7432939),Москва,Багратионовский проезд,7 к20В,,Mo-Su 11:00-23:00,+7 495 2874366,https://www.papajohns.ru,,,,,,,https://vk.com/papajohnsru,https://www.facebook.com/papajohnsru,https://www.instagram.com/papajohnsru,,,
94,971472079,cafe,amenity,Чачапури,55.8697285,37.630399,POINT (37.630399 55.8697285),Москва,,,,12:00-24:00,,,,,,,,,,,,,,
95,971946428,cafe,amenity,Пронто,55.8706639,37.5904446,POINT (37.5904446 55.8706639),Москва,,,,,,,,,,,,,,,,,,
96,976600406,cafe,amenity,Sous,55.8747675,37.5878456,POINT (37.5878456 55.8747675),Москва,,,,,,,,,,,,,,,,,,
97,977441714,cafe,amenity,Кулинарная лавка братьев Караваевых,55.7795919,37.628824,POINT (37.628824 55.7795919),Москва,,,,Mo-Su 08:00-23:00,,https://karavaevi.ru/,,,+7 499 272-52-37,,,,,,,,,
98,979290976,cafe,amenity,Штолле,55.8111129,37.638425,POINT (37.638425 55.8111129),Москва,,,,"Mo-Fr 08:00-21:00; Sa,Su 09:00-21:00",,,,,,,,,,,,,,
99,982153246,cafe,amenity,Сытый лось,55.6657973,37.6511706,POINT (37.6511706 55.6657973),Москва,,,,,,,,,,,http://sitlos.ru,,,,,,,
100,984569773,cafe,amenity,Булка,55.7737934,37.5860675,POINT (37.5860675 55.7737934),Москва,,,,Mo-Su 08:00-24:00,+7 495 2589170,http://www.bulkabakery.ru,,,+7 495 2589170,,,,,,,,,
101,1005932676,cafe,amenity,Шоколадница,55.8074121,37.6376851,POINT (37.6376851 55.8074121),Москва,,,,Mo-Fr 08:00-23:00; Sa-Su 09:00-23:00,+7 985 3104837,http://shoko.ru,,,,,,,,https://www.facebook.com/shoko.ru,,,,
102,1018201821,cafe,amenity,Капли,55.8648069,37.6042686,POINT (37.6042686 55.8648069),Москва,,,,,,,,,,,,,,,,,,
103,1026770184,cafe,amenity,Карамель,55.5480669,37.5505158,POINT (37.5505158 55.5480669),Москва,,,,"Mo-Fr 19:00-06:00; Sa,Su 00:00-24:00",,http://karaoke-karamel.ru,,,+7 968 6255655,,,,,,,,,
104,1066700444,cafe,amenity,Шоколадница,55.6832512,37.4919947,POINT (37.4919947 55.6832512),Москва,улица Удальцова,40А,,Mo-Su 08:00-23:00,,http://shoko.ru,,,+7 915 4925732,,,,,https://www.facebook.com/shoko.ru,,,,
105,1067414772,cafe,amenity,Домашний,55.8009625,37.5865861,POINT (37.5865861 55.8009625),Москва,,,,,,,,,+7 495 7480149,,,,,,,,,
106,1074714681,cafe,amenity,Фестивальное,55.7545312,37.6226597,POINT (37.6226597 55.7545312),Москва,,,,,,,,,,,,,,,,,,
107,1099915309,cafe,amenity,Багеттерия,55.7091356,37.6219655,POINT (37.6219655 55.7091356),Москва,,,,,,,,,,,http://bagetteria.ru,,,,,,,
108,1099915345,cafe,amenity,Поль Бейкери,55.7093969,37.6223362,POINT (37.6223362 55.7093969),Москва,,,,10:00-22:00,,,,,,,http://www.paulbakery.ru/,,,,,,,
109,1099915369,cafe,amenity,Шоколадница,55.7079507,37.6222314,POINT (37.6222314 55.7079507),Москва,,,,,,http://shoko.ru,,,,,,,,https://www.facebook.com/shoko.ru,,,,
110,1099915381,cafe,amenity,Lux cafe,55.7080597,37.6218884,POINT (37.6218884 55.7080597),Москва,,,,,,,,,,,,,,,,,,
111,1099915398,cafe,amenity,Баскин Роббинс,55.7091282,37.6223071,POINT (37.6223071 55.7091282),Москва,,,,,,http://baskinrobbins.ru,,,,,,,,https://www.facebook.com/BaskinRobbinsRussia,,,,
112,1099915429,cafe,amenity,кремлевский экспресс,55.7093922,37.6220148,POINT (37.6220148 55.7093922),Москва,,,,,,,,,,,,,,,,,,
113,1099915439,cafe,amenity,УДОНъяСАН,55.7093406,37.6220093,POINT (37.6220093 55.7093406),Москва,,,,,,,,,,,http://www.udonyasan.ru,,,,,,,
114,1099915448,cafe,amenity,Кофетун,55.707847,37.6222844,POINT (37.6222844 55.707847),Москва,,,,,,,,,,,,,,,,,,
115,1099915456,cafe,amenity,Техас Чикен,55.7092401,37.6219747,POINT (37.6219747 55.7092401),Москва,,,,,,,,,,,,,,,,,,
116,1099915466,cafe,amenity,Ташир Пицца,55.7094982,37.6220254,POINT (37.6220254 55.7094982),Москва,,,,,,,,,,,http://www.tashirpizza.am,,,,,,,
117,1099915502,cafe,amenity,Кебаб Тун,55.7094503,37.6220185,POINT (37.6220185 55.7094503),Москва,,,,,,,,,,,,,,,,,,
118,1099916013,cafe,amenity,Шарм,55.7079682,37.6219598,POINT (37.6219598 55.7079682),Москва,,,,,,,,,,,,,,,,,,
119,1099916158,cafe,amenity,Венский Штрудель,55.7091655,37.6223129,POINT (37.6223129 55.7091655),Москва,,,,,,,,,,,http://www.strudel.ru,,,,,,,
120,1099916470,cafe,amenity,Кофе Хауз,55.709483,37.6223537,POINT (37.6223537 55.709483),Москва,,,,,,https://coffeehouse.ru,,,,info@coffeehouse.ru,,,https://vk.com/ru_coffeehouse,https://www.facebook.com/coffeehouse.ru,https://www.instagram.com/coffeehouse,https://twitter.com/ru_coffeehouse,https://www.youtube.com/user/CoffeeHouseMan,
121,1099917079,cafe,amenity,Сушитун,55.7078489,37.6222176,POINT (37.6222176 55.7078489),Москва,,,,,,,,,,,,,,,,,,
122,1111717651,cafe,amenity,Пивбар 6/9,55.7611536,37.6240418,POINT (37.6240418 55.7611536),Москва,,,,,,http://кафекукушка.рф,,,+7 495 6257833,,,,,,,,,
123,1140804624,cafe,amenity,French Kiss,55.735131,37.61281,POINT (37.61281 55.735131),Москва,,,,Mo-Su 09:30-22:30,,http://www.frenchkiss.ru/,,,+7 926 9964414,,,Магазин шоколада,,,,,,
124,1141775705,cafe,amenity,A'petit,55.7738478,37.5990744,POINT (37.5990744 55.7738478),Москва,,,,,,,,,+7 499 2501930,,,,,,,,,
125,1142024782,cafe,amenity,Stars Coffee,55.7949773,37.7125119,POINT (37.7125119 55.7949773),Москва,,,,,,https://stars-coffee.ru/,,,+7 991 5555222,info@stars-coffee.ru,,,,,,,,
126,1142038268,cafe,amenity,Буржуй,55.7748626,37.6718904,POINT (37.6718904 55.7748626),Москва,Нижняя Красносельская улица,40/12 к8,,Mo-Fr 09:00-18:00,+7 495 9846931,,,,,,www.burjui-club.ru,,,,,,,info@burjui-club.ru
127,1150928752,cafe,amenity,Кофе Хауз,55.7279643,37.4493719,POINT (37.4493719 55.7279643),Москва,улица Ивана Франко,8,,Mo-Fr 08:00-19:00,+7 495 2218381,http://www.coffeehouse.ru,,,,,,,,,,,,
128,1180488753,cafe,amenity,Флэшбэк-2,55.8757288,37.6220999,POINT (37.6220999 55.8757288),Москва,,,,Mo-Su 00:00-24:00; 09:00-10:00 off,,,,,,,http://flash-back.ru/,,,,,,,
129,1187011815,cafe,amenity,Гранд,55.8495072,37.4445068,POINT (37.4445068 55.8495072),Москва,,,,24/7,,,,,,,,,,,,,,
130,1191423573,cafe,amenity,Шоколадница,55.8651596,37.6615003,POINT (37.6615003 55.8651596),Москва,,,,Su-Th 08:00-23:00; Fr-Sa 00:00-24:00,+7 968 792-71-34,https://shoko.ru/,,,,loyalty@shoko.ru,,,https://vk.com/ru_coffeehouse,https://www.facebook.com/coffeehouse.ru,https://instagram.com/coffeehouse,https://twitter.com/ru_coffeehouse,https://www.youtube.com/user/CoffeeHouseMan,
131,1202751433,cafe,amenity,Лакомка,55.7932241,37.7879106,POINT (37.7879106 55.7932241),Москва,,,,Mo-Su 12:00-24:00,,,,,,,,,,,,,,
132,1203692206,cafe,amenity,Surf Coffee,55.7246075,37.5624248,POINT (37.5624248 55.7246075),Москва,,,,Mo-Su 08:00-22:00,,http://surfcoffee.ru,,,+7 977 4381887,,,,,,,,,
133,1206954750,cafe,amenity,Рай,55.6444778,37.7115551,POINT (37.7115551 55.6444778),Москва,,,,,,,,,,,,,,,,,,
134,1206955384,cafe,amenity,Шоколадница,55.7305611,37.6116567,POINT (37.6116567 55.7305611),Москва,,,,24/7,+7 916 3899811,http://shoko.ru,,,,,,,https://vk.com/shokoru,https://www.facebook.com/shoko.ru,https://www.instagram.com/shoko.ru,https://twitter.com/wwwShokoRu,,
135,1207071261,cafe,amenity,Megapolis,55.7990827,37.6129023,POINT (37.6129023 55.7990827),Москва,,,,12:00-23:00,+7 495 6454458,,,,,,,,,,,,,
136,1226435919,cafe,amenity,Кофе Хауз,55.6536211,37.6206341,POINT (37.6206341 55.6536211),Москва,,,,,,http://www.coffeehouse.ru,,,,,,,,,,,,
137,1226435932,cafe,amenity,Шоколадница,55.6539117,37.620604,POINT (37.620604 55.6539117),Москва,,,,Mo-Su 10:00-22:00,+7 915 4740200,,,,,,https://shoko.ru/,,,,,,,
